,stage1_pred,stage2_pred,stage3_pred,stage4_pred,stage5_pred
stage1_true,408,57,1,0,0
stage2_true,1,493,5,13,0
stage3_true,0,47,290,88,0
stage4_true,0,1,4,455,0
stage5_true,0,0,0,0,400
,precision,recall,f1-score,support
stage1,0.9975550122249389,0.8755364806866953,0.9325714285714286,466.0
stage2,0.8244147157190636,0.962890625,0.8882882882882883,512.0
stage3,0.9666666666666667,0.6823529411764706,0.8,425.0
stage4,0.8183453237410072,0.9891304347826086,0.8956692913385826,460.0
stage5,1.0,1.0,1.0,400.0
accuracy,0.9041095890410958,0.9041095890410958,0.9041095890410958,0.9041095890410958
macro avg,0.9213963436703352,0.9019820963291549,0.9033058016396598,2263.0
weighted avg,0.9165855733094029,0.9041095890410958,0.9020723655915321,2263.0
